Timestamp,Velocity,Current,Temperature,Supply_voltage,PWM
0,0,0,0,0,0
12.06,24.96,136.6,42.0,11.1,51.53
12.46,24.96,135.92,43.0,11.1,50.96
12.86,24.5,142.0,43.0,11.1,52.09
13.26,24.73,137.95,43.0,11.1,51.19
13.66,24.73,139.3,43.0,11.0,51.53
14.16,24.5,142.0,44.0,11.0,51.87
14.56,24.96,134.57,44.0,11.0,51.3
15.06,23.82,131.87,44.0,11.1,50.06
15.46,24.96,141.33,44.0,11.1,51.98
15.91,24.5,146.06,45.0,11.0,52.55
16.31,24.5,138.62,45.0,11.1,51.64
16.81,24.73,140.65,46.0,11.1,52.66
17.21,24.5,137.95,46.0,11.0,51.75
17.66,24.73,142.0,46.0,11.1,52.43
18.11,24.5,137.95,46.0,11.1,51.75
18.51,25.42,133.22,46.0,11.1,50.4
18.91,24.5,144.71,47.0,11.0,52.21
19.31,24.73,133.22,47.0,11.1,51.3
19.76,25.19,129.17,47.0,11.1,50.85
20.16,24.73,137.95,47.0,11.0,51.64
20.56,24.73,141.33,47.0,11.1,52.66
20.96,24.96,136.6,47.0,11.0,51.19
21.46,25.19,123.76,48.0,11.1,49.72
21.86,24.27,132.54,48.0,11.0,50.74
22.26,24.5,133.9,48.0,11.1,50.85
22.71,24.96,133.22,48.0,11.1,51.75
23.16,24.73,126.46,48.0,11.1,49.04
23.56,24.05,127.81,48.0,11.1,49.72
24.01,24.05,139.98,48.0,11.1,52.09
24.46,25.19,154.16,48.0,11.0,53.45
24.86,24.5,149.43,49.0,11.1,53.79
25.31,24.73,134.57,49.0,11.1,51.19
25.71,24.96,132.54,49.0,11.1,50.51
26.21,24.73,126.46,49.0,11.1,50.29
26.61,24.73,130.52,50.0,11.1,50.62
27.06,24.05,135.92,50.0,11.0,51.64
27.51,25.19,133.9,50.0,11.0,51.19
27.96,25.19,133.22,50.0,11.0,50.96
28.36,24.27,135.25,50.0,11.1,51.53
28.81,24.96,129.84,50.0,11.1,50.85
29.26,24.27,134.57,50.0,11.0,50.96
29.71,24.96,133.9,50.0,11.1,51.64
30.16,25.19,128.49,50.0,11.1,51.08
30.61,24.5,125.79,50.0,11.0,49.27
31.06,25.19,132.54,50.0,11.1,51.3
31.51,24.27,136.6,51.0,11.0,51.64
31.96,24.96,129.17,51.0,11.0,50.85
32.41,24.5,134.57,51.0,11.1,51.53
32.86,24.73,136.6,51.0,11.0,50.96
33.31,24.96,133.9,51.0,11.0,51.87
33.76,24.5,125.79,51.0,11.0,51.3
34.21,24.73,128.49,51.0,11.1,50.06
34.66,24.96,131.19,51.0,11.1,51.08
35.11,25.19,126.46,51.0,11.1,50.29
35.61,24.96,131.19,51.0,11.0,50.4
36.01,24.27,133.22,51.0,11.0,51.64
36.46,24.73,131.87,51.0,11.1,50.62
36.96,25.42,121.73,51.0,11.0,49.72
37.41,25.19,119.71,51.0,11.1,48.82
37.86,24.27,132.54,52.0,11.1,50.29
38.31,24.5,137.27,52.0,11.1,52.21
38.81,24.96,125.11,52.0,11.0,49.38
39.26,24.5,125.11,52.0,11.1,50.29
39.71,23.82,142.0,52.0,11.1,52.21
40.21,24.5,150.11,52.0,11.0,53.11
40.66,25.19,139.98,52.0,11.0,53.11
41.11,24.96,129.17,52.0,10.8,50.62
41.61,24.96,127.14,53.0,11.0,50.17
42.06,24.5,127.81,53.0,11.1,50.62
42.56,24.27,135.25,53.0,11.0,50.51
43.01,24.96,137.95,53.0,11.0,51.53
43.51,24.96,129.17,53.0,11.0,50.74
43.96,24.27,133.22,53.0,11.1,51.41
44.41,24.96,133.9,53.0,11.1,51.08
44.91,24.27,133.22,53.0,11.0,50.96
45.36,24.96,134.57,53.0,11.0,51.53
45.81,25.42,128.49,53.0,11.0,50.74
46.26,24.73,121.73,53.0,10.9,49.38
46.66,24.96,130.52,53.0,11.0,50.51
47.11,24.5,131.19,53.0,11.0,51.08
47.51,24.73,140.65,53.0,11.1,51.53
47.96,24.27,135.25,53.0,11.1,51.53
48.41,24.73,133.9,53.0,11.1,50.62
48.81,25.19,135.92,53.0,11.0,52.21
49.21,24.5,131.87,53.0,11.1,50.96
49.71,25.19,128.49,53.0,11.0,49.49
50.11,24.27,131.87,53.0,11.0,51.3
50.56,24.73,129.84,53.0,11.1,50.74
51.01,24.5,127.81,54.0,11.1,50.51
51.46,24.73,127.14,54.0,11.0,49.95
51.91,25.19,133.22,54.0,11.1,50.85
52.31,24.27,135.92,54.0,11.1,51.64
52.81,24.5,116.33,54.0,11.1,49.16
53.21,24.73,118.36,54.0,11.1,48.82
53.61,24.5,131.19,54.0,11.1,50.74
54.11,24.96,137.95,54.0,11.0,51.75
54.56,24.5,127.14,54.0,11.1,50.06
54.96,24.96,125.79,54.0,11.0,50.29
55.41,24.73,137.95,54.0,11.0,51.87
55.86,24.27,146.06,54.0,11.0,53.22
56.31,24.96,135.25,54.0,10.8,52.09
56.71,24.96,133.9,54.0,11.1,50.51
57.16,24.73,126.46,54.0,11.0,50.62
57.61,24.5,121.06,54.0,11.1,50.4
58.01,24.5,124.44,54.0,11.1,49.38
58.41,24.5,135.92,54.0,11.1,51.87
58.86,24.5,137.95,54.0,11.0,51.53
59.31,24.96,130.52,54.0,11.1,50.51
59.76,24.5,137.27,54.0,11.1,51.64
60.21,25.19,124.44,54.0,11.1,50.17
60.71,24.5,133.9,54.0,11.0,51.53
61.11,25.19,135.92,54.0,11.1,51.08
61.56,24.96,131.19,54.0,11.0,50.06
62.01,24.5,127.81,54.0,11.1,50.4
62.41,24.5,131.19,54.0,11.0,50.51
62.86,25.19,133.22,54.0,11.1,50.85
63.26,24.96,135.25,54.0,11.0,51.41
63.76,24.96,132.54,54.0,11.1,50.85
64.16,24.73,133.22,54.0,11.0,50.85
